VS_NAZOV,FAKULTA_NAZOV,pocty_zamestnancov,publikacna_excelentnost,sum_granty
Univerzita Mateja Bela v Banskej Bystrici,Fakulta politických vied a medzinárodných vzťahov,37,40.0,0.0
Univerzita Mateja Bela v Banskej Bystrici,Fakulta prírodných vied,15,7.0,0.0
Univerzita Mateja Bela v Banskej Bystrici,Ekonomická fakulta,96,181.5,309544.0
Univerzita Konštantína Filozofa v Nitre,Fakulta sociálnych vied a zdravotníctva,27,45.25,5430.0
Univerzita Konštantína Filozofa v Nitre,Pedagogická fakulta UKF,82,130.0,11248.0
Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,22,56.5,0.0
Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied,37,0.0,101160.0
Univerzita Konštantína Filozofa v Nitre,Fakulta stredoeurópskych štúdií,23,48.75,5634.0
Prešovská univerzita v Prešove,Fakulta humanitných a prírodných vied,26,39.0,0.0
Prešovská univerzita v Prešove,Fakulta manažmentu,67,0.0,81864.0
Prešovská univerzita v Prešove,Fakulta športu,24,53.5,559988.0
Prešovská univerzita v Prešove,Filozofická fakulta,75,84.0,0.0
Prešovská univerzita v Prešove,Pedagogická fakulta,57,42.25,52206.0
Prešovská univerzita v Prešove,Pravoslávna bohoslovecká fakulta,7,13.25,0.0
Prešovská univerzita v Prešove,Centrum celoživotného a kompetenčného vzdelávania,10,0.0,0.0
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,Fakulta sociálno-ekonomických vzťahov,26,94.5,0.0
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,Celouniverzitné pracovisko - Katedra politológie,7,0.0,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Filozofická fakulta,16,42.75,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta sociálnych  vied,39,43.5,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta masmediálnej komunikácie,85,0.0,318814.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta zdravotníckych vied,5,4.75,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Inštitút manažmentu,10,11.75,0.0
Katolícka univerzita v Ružomberku,Pedagogická fakulta,76,68.0,0.0
Katolícka univerzita v Ružomberku,Teologická fakulta,19,11.5,48600.0
Katolícka univerzita v Ružomberku,Filozofická fakulta,37,10.0,26806.0
Univerzita J. Selyeho,Pedagogická fakulta,53,34.5,572392.0
Univerzita J. Selyeho,Fakulta ekonómie a informatiky,18,71.5,0.0
